Track,Artist,URI,Audio Features,cluster
GNF (OKOKOK),Polo G,1A8990rtwHQ417l3yADe5t,"[{'danceability': 0.753, 'energy': 0.659, 'key': 8, 'loudness': -9.671, 'mode': 1, 'speechiness': 0.416, 'acousticness': 0.659, 'instrumentalness': 0, 'liveness': 0.098, 'valence': 0.459, 'tempo': 146.022, 'type': 'audio_features', 'id': '1A8990rtwHQ417l3yADe5t', 'uri': 'spotify:track:1A8990rtwHQ417l3yADe5t', 'track_href': 'https://api.spotify.com/v1/tracks/1A8990rtwHQ417l3yADe5t', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1A8990rtwHQ417l3yADe5t', 'duration_ms': 116256, 'time_signature': 4}]",0
Bruuuh (with Denzel Curry) - Remix,JID,5LghBGmNUUwI2BvX2boIdK,"[{'danceability': 0.813, 'energy': 0.621, 'key': 9, 'loudness': -9.273, 'mode': 1, 'speechiness': 0.209, 'acousticness': 0.0144, 'instrumentalness': 4.03e-05, 'liveness': 0.0793, 'valence': 0.377, 'tempo': 112.101, 'type': 'audio_features', 'id': '5LghBGmNUUwI2BvX2boIdK', 'uri': 'spotify:track:5LghBGmNUUwI2BvX2boIdK', 'track_href': 'https://api.spotify.com/v1/tracks/5LghBGmNUUwI2BvX2boIdK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5LghBGmNUUwI2BvX2boIdK', 'duration_ms': 206446, 'time_signature': 4}]",9
Cludder,JID,5JISV2O82kiiwdEzx7ZL9b,"[{'danceability': 0.563, 'energy': 0.815, 'key': 1, 'loudness': -5.944, 'mode': 1, 'speechiness': 0.346, 'acousticness': 0.274, 'instrumentalness': 0.0019, 'liveness': 0.287, 'valence': 0.523, 'tempo': 127.313, 'type': 'audio_features', 'id': '5JISV2O82kiiwdEzx7ZL9b', 'uri': 'spotify:track:5JISV2O82kiiwdEzx7ZL9b', 'track_href': 'https://api.spotify.com/v1/tracks/5JISV2O82kiiwdEzx7ZL9b', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5JISV2O82kiiwdEzx7ZL9b', 'duration_ms': 192382, 'time_signature': 3}]",2
Banned,Lil Wayne,2jbHoqgy4fpTa3A74MHSS3,"[{'danceability': 0.557, 'energy': 0.949, 'key': 1, 'loudness': -4.406, 'mode': 1, 'speechiness': 0.421, 'acousticness': 0.0159, 'instrumentalness': 0, 'liveness': 0.535, 'valence': 0.692, 'tempo': 92.321, 'type': 'audio_features', 'id': '2jbHoqgy4fpTa3A74MHSS3', 'uri': 'spotify:track:2jbHoqgy4fpTa3A74MHSS3', 'track_href': 'https://api.spotify.com/v1/tracks/2jbHoqgy4fpTa3A74MHSS3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2jbHoqgy4fpTa3A74MHSS3', 'duration_ms': 174942, 'time_signature': 4}]",2
Clappers (feat. 42 Dugg),Slimelife Shawty,2qrcvpJgVaRPeMyXSmCn2s,"[{'danceability': 0.827, 'energy': 0.513, 'key': 1, 'loudness': -8.109, 'mode': 0, 'speechiness': 0.335, 'acousticness': 0.0131, 'instrumentalness': 0, 'liveness': 0.0823, 'valence': 0.249, 'tempo': 133.005, 'type': 'audio_features', 'id': '2qrcvpJgVaRPeMyXSmCn2s', 'uri': 'spotify:track:2qrcvpJgVaRPeMyXSmCn2s', 'track_href': 'https://api.spotify.com/v1/tracks/2qrcvpJgVaRPeMyXSmCn2s', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2qrcvpJgVaRPeMyXSmCn2s', 'duration_ms': 202588, 'time_signature': 4}]",1
Since The 1st Grade,Ysr Gramz,0KfwPIGQksBVo7l0DWjDGn,"[{'danceability': 0.649, 'energy': 0.578, 'key': 2, 'loudness': -10.187, 'mode': 1, 'speechiness': 0.0722, 'acousticness': 0.00799, 'instrumentalness': 0, 'liveness': 0.147, 'valence': 0.117, 'tempo': 131.825, 'type': 'audio_features', 'id': '0KfwPIGQksBVo7l0DWjDGn', 'uri': 'spotify:track:0KfwPIGQksBVo7l0DWjDGn', 'track_href': 'https://api.spotify.com/v1/tracks/0KfwPIGQksBVo7l0DWjDGn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0KfwPIGQksBVo7l0DWjDGn', 'duration_ms': 126642, 'time_signature': 5}]",6
'97 Hov,Benny The Butcher,1qzlwbV6SwHYOR3mhu6ZEd,"[{'danceability': 0.462, 'energy': 0.517, 'key': 1, 'loudness': -12.017, 'mode': 1, 'speechiness': 0.369, 'acousticness': 0.47, 'instrumentalness': 0, 'liveness': 0.147, 'valence': 0.656, 'tempo': 79.585, 'type': 'audio_features', 'id': '1qzlwbV6SwHYOR3mhu6ZEd', 'uri': 'spotify:track:1qzlwbV6SwHYOR3mhu6ZEd', 'track_href': 'https://api.spotify.com/v1/tracks/1qzlwbV6SwHYOR3mhu6ZEd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1qzlwbV6SwHYOR3mhu6ZEd', 'duration_ms': 250737, 'time_signature': 4}]",0
Still Think About You,A Boogie Wit da Hoodie,2FTeQQ5Rg9tBpgpTF5mnhE,"[{'danceability': 0.946, 'energy': 0.646, 'key': 5, 'loudness': -6.604, 'mode': 1, 'speechiness': 0.21, 'acousticness': 0.219, 'instrumentalness': 0, 'liveness': 0.0643, 'valence': 0.961, 'tempo': 127.978, 'type': 'audio_features', 'id': '2FTeQQ5Rg9tBpgpTF5mnhE', 'uri': 'spotify:track:2FTeQQ5Rg9tBpgpTF5mnhE', 'track_href': 'https://api.spotify.com/v1/tracks/2FTeQQ5Rg9tBpgpTF5mnhE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2FTeQQ5Rg9tBpgpTF5mnhE', 'duration_ms': 246988, 'time_signature': 4}]",4
Benz Friendz (Whatchutola) (feat. André 3000),Future,4E7H6rqgxHdSoeGSS28CTY,"[{'danceability': 0.582, 'energy': 0.838, 'key': 4, 'loudness': -5.015, 'mode': 0, 'speechiness': 0.294, 'acousticness': 0.16, 'instrumentalness': 0, 'liveness': 0.544, 'valence': 0.505, 'tempo': 93.454, 'type': 'audio_features', 'id': '4E7H6rqgxHdSoeGSS28CTY', 'uri': 'spotify:track:4E7H6rqgxHdSoeGSS28CTY', 'track_href': 'https://api.spotify.com/v1/tracks/4E7H6rqgxHdSoeGSS28CTY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4E7H6rqgxHdSoeGSS28CTY', 'duration_ms': 281120, 'time_signature': 4}]",7
Off 1Tenth,YoungBoy Never Broke Again,4UiUo8eOWzY9qaium18hul,"[{'danceability': 0.612, 'energy': 0.762, 'key': 3, 'loudness': -5.736, 'mode': 0, 'speechiness': 0.435, 'acousticness': 0.221, 'instrumentalness': 0, 'liveness': 0.236, 'valence': 0.764, 'tempo': 82.711, 'type': 'audio_features', 'id': '4UiUo8eOWzY9qaium18hul', 'uri': 'spotify:track:4UiUo8eOWzY9qaium18hul', 'track_href': 'https://api.spotify.com/v1/tracks/4UiUo8eOWzY9qaium18hul', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4UiUo8eOWzY9qaium18hul', 'duration_ms': 128104, 'time_signature': 4}]",7
