Track,Artist,URI,Audio Features,cluster
Wyclef Jean,Young Thug,55OdqrG8WLmsYyY1jijD9b,"[{'danceability': 0.863, 'energy': 0.576, 'key': 5, 'loudness': -5.687, 'mode': 0, 'speechiness': 0.239, 'acousticness': 0.124, 'instrumentalness': 0, 'liveness': 0.143, 'valence': 0.832, 'tempo': 132.054, 'type': 'audio_features', 'id': '55OdqrG8WLmsYyY1jijD9b', 'uri': 'spotify:track:55OdqrG8WLmsYyY1jijD9b', 'track_href': 'https://api.spotify.com/v1/tracks/55OdqrG8WLmsYyY1jijD9b', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/55OdqrG8WLmsYyY1jijD9b', 'duration_ms': 236293, 'time_signature': 4}]",7
Area Codes,Ludacris,3lcC9CnN7Rpo1ugATzmYjY,"[{'danceability': 0.86, 'energy': 0.688, 'key': 9, 'loudness': -7.203, 'mode': 0, 'speechiness': 0.434, 'acousticness': 0.399, 'instrumentalness': 0, 'liveness': 0.67, 'valence': 0.622, 'tempo': 100.934, 'type': 'audio_features', 'id': '3lcC9CnN7Rpo1ugATzmYjY', 'uri': 'spotify:track:3lcC9CnN7Rpo1ugATzmYjY', 'track_href': 'https://api.spotify.com/v1/tracks/3lcC9CnN7Rpo1ugATzmYjY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3lcC9CnN7Rpo1ugATzmYjY', 'duration_ms': 303027, 'time_signature': 4}]",5
Senior Skip Day,Mac Miller,2At3wa1XCMnEendDMO9qcM,"[{'danceability': 0.534, 'energy': 0.566, 'key': 5, 'loudness': -8.661, 'mode': 0, 'speechiness': 0.224, 'acousticness': 0.465, 'instrumentalness': 0, 'liveness': 0.169, 'valence': 0.72, 'tempo': 107.799, 'type': 'audio_features', 'id': '2At3wa1XCMnEendDMO9qcM', 'uri': 'spotify:track:2At3wa1XCMnEendDMO9qcM', 'track_href': 'https://api.spotify.com/v1/tracks/2At3wa1XCMnEendDMO9qcM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2At3wa1XCMnEendDMO9qcM', 'duration_ms': 147523, 'time_signature': 4}]",8
Frick Park Market,Mac Miller,2Y0kKL90NsxMNAHqvTuhps,"[{'danceability': 0.592, 'energy': 0.808, 'key': 6, 'loudness': -5.643, 'mode': 1, 'speechiness': 0.0598, 'acousticness': 0.0225, 'instrumentalness': 0, 'liveness': 0.293, 'valence': 0.227, 'tempo': 156.125, 'type': 'audio_features', 'id': '2Y0kKL90NsxMNAHqvTuhps', 'uri': 'spotify:track:2Y0kKL90NsxMNAHqvTuhps', 'track_href': 'https://api.spotify.com/v1/tracks/2Y0kKL90NsxMNAHqvTuhps', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2Y0kKL90NsxMNAHqvTuhps', 'duration_ms': 197559, 'time_signature': 4}]",9
O.K. - Bonus Track,Mac Miller,5Zxag6MRK1YCumP1XP3lZg,"[{'danceability': 0.814, 'energy': 0.741, 'key': 1, 'loudness': -6.863, 'mode': 1, 'speechiness': 0.43, 'acousticness': 0.0579, 'instrumentalness': 0, 'liveness': 0.223, 'valence': 0.764, 'tempo': 115.211, 'type': 'audio_features', 'id': '5Zxag6MRK1YCumP1XP3lZg', 'uri': 'spotify:track:5Zxag6MRK1YCumP1XP3lZg', 'track_href': 'https://api.spotify.com/v1/tracks/5Zxag6MRK1YCumP1XP3lZg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5Zxag6MRK1YCumP1XP3lZg', 'duration_ms': 160869, 'time_signature': 4}]",2
I Wanna Love You,Akon,4xAk8Lw82G3YoVSOdVAsBx,"[{'danceability': 0.866, 'energy': 0.454, 'key': 0, 'loudness': -9.383, 'mode': 1, 'speechiness': 0.0414, 'acousticness': 0.0373, 'instrumentalness': 1.49e-06, 'liveness': 0.275, 'valence': 0.368, 'tempo': 99.985, 'type': 'audio_features', 'id': '4xAk8Lw82G3YoVSOdVAsBx', 'uri': 'spotify:track:4xAk8Lw82G3YoVSOdVAsBx', 'track_href': 'https://api.spotify.com/v1/tracks/4xAk8Lw82G3YoVSOdVAsBx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4xAk8Lw82G3YoVSOdVAsBx', 'duration_ms': 247067, 'time_signature': 4}]",6
ball w/o you,21 Savage,50a8bKqlwDEqeiEknrzkTO,"[{'danceability': 0.892, 'energy': 0.633, 'key': 8, 'loudness': -7.471, 'mode': 1, 'speechiness': 0.0902, 'acousticness': 0.0467, 'instrumentalness': 0.000189, 'liveness': 0.139, 'valence': 0.459, 'tempo': 137.994, 'type': 'audio_features', 'id': '50a8bKqlwDEqeiEknrzkTO', 'uri': 'spotify:track:50a8bKqlwDEqeiEknrzkTO', 'track_href': 'https://api.spotify.com/v1/tracks/50a8bKqlwDEqeiEknrzkTO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/50a8bKqlwDEqeiEknrzkTO', 'duration_ms': 195047, 'time_signature': 4}]",9
Upper Echelon (feat. T.I. & 2 Chainz),Travis Scott,1x6Zk7hoTIlSOFNZnyxjZD,"[{'danceability': 0.788, 'energy': 0.617, 'key': 2, 'loudness': -4.516, 'mode': 1, 'speechiness': 0.0651, 'acousticness': 0.0448, 'instrumentalness': 0, 'liveness': 0.088, 'valence': 0.128, 'tempo': 122.065, 'type': 'audio_features', 'id': '1x6Zk7hoTIlSOFNZnyxjZD', 'uri': 'spotify:track:1x6Zk7hoTIlSOFNZnyxjZD', 'track_href': 'https://api.spotify.com/v1/tracks/1x6Zk7hoTIlSOFNZnyxjZD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1x6Zk7hoTIlSOFNZnyxjZD', 'duration_ms': 243800, 'time_signature': 4}]",6
Ridin' (feat. Lil Durk),Young Thug,0sMZD2KXYkkR0xDZiBoI7g,"[{'danceability': 0.861, 'energy': 0.604, 'key': 9, 'loudness': -9.071, 'mode': 1, 'speechiness': 0.206, 'acousticness': 0.133, 'instrumentalness': 0, 'liveness': 0.142, 'valence': 0.39, 'tempo': 107.99, 'type': 'audio_features', 'id': '0sMZD2KXYkkR0xDZiBoI7g', 'uri': 'spotify:track:0sMZD2KXYkkR0xDZiBoI7g', 'track_href': 'https://api.spotify.com/v1/tracks/0sMZD2KXYkkR0xDZiBoI7g', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0sMZD2KXYkkR0xDZiBoI7g', 'duration_ms': 248889, 'time_signature': 4}]",9
Oceans,JAY-Z,0nlvu5bNiP4husbmaz8I0G,"[{'danceability': 0.465, 'energy': 0.947, 'key': 11, 'loudness': -5.245, 'mode': 0, 'speechiness': 0.372, 'acousticness': 0.222, 'instrumentalness': 0, 'liveness': 0.414, 'valence': 0.453, 'tempo': 119.585, 'type': 'audio_features', 'id': '0nlvu5bNiP4husbmaz8I0G', 'uri': 'spotify:track:0nlvu5bNiP4husbmaz8I0G', 'track_href': 'https://api.spotify.com/v1/tracks/0nlvu5bNiP4husbmaz8I0G', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0nlvu5bNiP4husbmaz8I0G', 'duration_ms': 237920, 'time_signature': 5}]",5
Otis,JAY-Z,6vegnfDS8DAEaCqWaPYGPy,"[{'danceability': 0.754, 'energy': 0.631, 'key': 7, 'loudness': -4.751, 'mode': 0, 'speechiness': 0.307, 'acousticness': 0.552, 'instrumentalness': 0, 'liveness': 0.5, 'valence': 0.432, 'tempo': 94.577, 'type': 'audio_features', 'id': '6vegnfDS8DAEaCqWaPYGPy', 'uri': 'spotify:track:6vegnfDS8DAEaCqWaPYGPy', 'track_href': 'https://api.spotify.com/v1/tracks/6vegnfDS8DAEaCqWaPYGPy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6vegnfDS8DAEaCqWaPYGPy', 'duration_ms': 178213, 'time_signature': 4}]",8
Heart Of The City (Ain't No Love),JAY-Z,6gpZSI0xEMTzleBc5ykOVA,"[{'danceability': 0.606, 'energy': 0.943, 'key': 6, 'loudness': -3.948, 'mode': 1, 'speechiness': 0.276, 'acousticness': 0.088, 'instrumentalness': 0.0039, 'liveness': 0.342, 'valence': 0.802, 'tempo': 171.027, 'type': 'audio_features', 'id': '6gpZSI0xEMTzleBc5ykOVA', 'uri': 'spotify:track:6gpZSI0xEMTzleBc5ykOVA', 'track_href': 'https://api.spotify.com/v1/tracks/6gpZSI0xEMTzleBc5ykOVA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6gpZSI0xEMTzleBc5ykOVA', 'duration_ms': 223240, 'time_signature': 4}]",4
December 4th,JAY-Z,7gVaf6eZDV1oQdGwvDYfmU,"[{'danceability': 0.651, 'energy': 0.812, 'key': 9, 'loudness': -3.374, 'mode': 1, 'speechiness': 0.237, 'acousticness': 0.0279, 'instrumentalness': 0, 'liveness': 0.38, 'valence': 0.495, 'tempo': 89.256, 'type': 'audio_features', 'id': '7gVaf6eZDV1oQdGwvDYfmU', 'uri': 'spotify:track:7gVaf6eZDV1oQdGwvDYfmU', 'track_href': 'https://api.spotify.com/v1/tracks/7gVaf6eZDV1oQdGwvDYfmU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7gVaf6eZDV1oQdGwvDYfmU', 'duration_ms': 272360, 'time_signature': 4}]",4
Cold,Kanye West,4eOJxoVUcN0kFX3ymAoREV,"[{'danceability': 0.425, 'energy': 0.686, 'key': 4, 'loudness': -8.213, 'mode': 0, 'speechiness': 0.134, 'acousticness': 8.71e-05, 'instrumentalness': 0, 'liveness': 0.281, 'valence': 0.468, 'tempo': 106.695, 'type': 'audio_features', 'id': '4eOJxoVUcN0kFX3ymAoREV', 'uri': 'spotify:track:4eOJxoVUcN0kFX3ymAoREV', 'track_href': 'https://api.spotify.com/v1/tracks/4eOJxoVUcN0kFX3ymAoREV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4eOJxoVUcN0kFX3ymAoREV', 'duration_ms': 219507, 'time_signature': 5}]",1
Am I Wrong,Anderson .Paak,7gZzWI6yC0Wb8xLcNYoYIg,"[{'danceability': 0.729, 'energy': 0.799, 'key': 11, 'loudness': -7.378, 'mode': 0, 'speechiness': 0.0779, 'acousticness': 0.0588, 'instrumentalness': 0.00218, 'liveness': 0.0948, 'valence': 0.532, 'tempo': 115.04, 'type': 'audio_features', 'id': '7gZzWI6yC0Wb8xLcNYoYIg', 'uri': 'spotify:track:7gZzWI6yC0Wb8xLcNYoYIg', 'track_href': 'https://api.spotify.com/v1/tracks/7gZzWI6yC0Wb8xLcNYoYIg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7gZzWI6yC0Wb8xLcNYoYIg', 'duration_ms': 253520, 'time_signature': 4}]",5
Dope Dealer,ScHoolboy Q,7pda6TLAbVGxUjIUtbiNt0,"[{'danceability': 0.786, 'energy': 0.569, 'key': 1, 'loudness': -5.461, 'mode': 1, 'speechiness': 0.125, 'acousticness': 0.048, 'instrumentalness': 0, 'liveness': 0.119, 'valence': 0.288, 'tempo': 82.027, 'type': 'audio_features', 'id': '7pda6TLAbVGxUjIUtbiNt0', 'uri': 'spotify:track:7pda6TLAbVGxUjIUtbiNt0', 'track_href': 'https://api.spotify.com/v1/tracks/7pda6TLAbVGxUjIUtbiNt0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7pda6TLAbVGxUjIUtbiNt0', 'duration_ms': 222147, 'time_signature': 4}]",6
Two Matches (feat. Ab-Soul),Mac Miller,5dhYmSVGhAVVSf5uTwj7hv,"[{'danceability': 0.622, 'energy': 0.873, 'key': 2, 'loudness': -4.995, 'mode': 1, 'speechiness': 0.298, 'acousticness': 0.204, 'instrumentalness': 0, 'liveness': 0.572, 'valence': 0.492, 'tempo': 79.715, 'type': 'audio_features', 'id': '5dhYmSVGhAVVSf5uTwj7hv', 'uri': 'spotify:track:5dhYmSVGhAVVSf5uTwj7hv', 'track_href': 'https://api.spotify.com/v1/tracks/5dhYmSVGhAVVSf5uTwj7hv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5dhYmSVGhAVVSf5uTwj7hv', 'duration_ms': 276387, 'time_signature': 4}]",2
Shoot My Shot,IDK,5q9Et9kJTWvRg80uQLBW4s,"[{'danceability': 0.756, 'energy': 0.577, 'key': 7, 'loudness': -7.127, 'mode': 1, 'speechiness': 0.0395, 'acousticness': 0.00277, 'instrumentalness': 0, 'liveness': 0.309, 'valence': 0.685, 'tempo': 92.036, 'type': 'audio_features', 'id': '5q9Et9kJTWvRg80uQLBW4s', 'uri': 'spotify:track:5q9Et9kJTWvRg80uQLBW4s', 'track_href': 'https://api.spotify.com/v1/tracks/5q9Et9kJTWvRg80uQLBW4s', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5q9Et9kJTWvRg80uQLBW4s', 'duration_ms': 172105, 'time_signature': 4}]",4
Never Bend Never Fold,Tee Grizzley,0qAuMvHp4qvJXmXeKpqeSW,"[{'danceability': 0.607, 'energy': 0.704, 'key': 1, 'loudness': -4.433, 'mode': 1, 'speechiness': 0.225, 'acousticness': 0.0214, 'instrumentalness': 0, 'liveness': 0.0858, 'valence': 0.338, 'tempo': 183.904, 'type': 'audio_features', 'id': '0qAuMvHp4qvJXmXeKpqeSW', 'uri': 'spotify:track:0qAuMvHp4qvJXmXeKpqeSW', 'track_href': 'https://api.spotify.com/v1/tracks/0qAuMvHp4qvJXmXeKpqeSW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0qAuMvHp4qvJXmXeKpqeSW', 'duration_ms': 150000, 'time_signature': 4}]",6
Gang Signs,Snoop Dogg,4laGLspUjGjh1O0AZ2tEQk,"[{'danceability': 0.573, 'energy': 0.626, 'key': 10, 'loudness': -8.081, 'mode': 0, 'speechiness': 0.498, 'acousticness': 0.00939, 'instrumentalness': 1.86e-06, 'liveness': 0.0852, 'valence': 0.408, 'tempo': 82.057, 'type': 'audio_features', 'id': '4laGLspUjGjh1O0AZ2tEQk', 'uri': 'spotify:track:4laGLspUjGjh1O0AZ2tEQk', 'track_href': 'https://api.spotify.com/v1/tracks/4laGLspUjGjh1O0AZ2tEQk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4laGLspUjGjh1O0AZ2tEQk', 'duration_ms': 294398, 'time_signature': 4}]",3
Good Morning,Kanye West,6ksv4PtmfcY56riQEX1mTK,"[{'danceability': 0.48, 'energy': 0.631, 'key': 7, 'loudness': -5.488, 'mode': 1, 'speechiness': 0.116, 'acousticness': 0.0791, 'instrumentalness': 0.000105, 'liveness': 0.149, 'valence': 0.515, 'tempo': 84.164, 'type': 'audio_features', 'id': '6ksv4PtmfcY56riQEX1mTK', 'uri': 'spotify:track:6ksv4PtmfcY56riQEX1mTK', 'track_href': 'https://api.spotify.com/v1/tracks/6ksv4PtmfcY56riQEX1mTK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6ksv4PtmfcY56riQEX1mTK', 'duration_ms': 195093, 'time_signature': 4}]",4
Nas Album Done (feat. Nas),DJ Khaled,2DxmjucrEJZGF0gy9QoEMV,"[{'danceability': 0.61, 'energy': 0.76, 'key': 0, 'loudness': -5.788, 'mode': 1, 'speechiness': 0.378, 'acousticness': 0.0306, 'instrumentalness': 0, 'liveness': 0.246, 'valence': 0.352, 'tempo': 89.856, 'type': 'audio_features', 'id': '2DxmjucrEJZGF0gy9QoEMV', 'uri': 'spotify:track:2DxmjucrEJZGF0gy9QoEMV', 'track_href': 'https://api.spotify.com/v1/tracks/2DxmjucrEJZGF0gy9QoEMV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2DxmjucrEJZGF0gy9QoEMV', 'duration_ms': 196695, 'time_signature': 4}]",6
Crack Music,Kanye West,2m1c56EF3xB78la1Xh9Yqb,"[{'danceability': 0.726, 'energy': 0.712, 'key': 11, 'loudness': -6.288, 'mode': 0, 'speechiness': 0.209, 'acousticness': 0.00975, 'instrumentalness': 0.000477, 'liveness': 0.345, 'valence': 0.554, 'tempo': 168.121, 'type': 'audio_features', 'id': '2m1c56EF3xB78la1Xh9Yqb', 'uri': 'spotify:track:2m1c56EF3xB78la1Xh9Yqb', 'track_href': 'https://api.spotify.com/v1/tracks/2m1c56EF3xB78la1Xh9Yqb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2m1c56EF3xB78la1Xh9Yqb', 'duration_ms': 270867, 'time_signature': 5}]",5
Bring Me Down,Kanye West,1JwSazdPkEpDZug2adVBU8,"[{'danceability': 0.385, 'energy': 0.694, 'key': 6, 'loudness': -6.918, 'mode': 0, 'speechiness': 0.076, 'acousticness': 0.0049, 'instrumentalness': 0, 'liveness': 0.612, 'valence': 0.387, 'tempo': 111.266, 'type': 'audio_features', 'id': '1JwSazdPkEpDZug2adVBU8', 'uri': 'spotify:track:1JwSazdPkEpDZug2adVBU8', 'track_href': 'https://api.spotify.com/v1/tracks/1JwSazdPkEpDZug2adVBU8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1JwSazdPkEpDZug2adVBU8', 'duration_ms': 199000, 'time_signature': 5}]",1
Angels,A$AP Rocky,6KM0MPPSPGjBlQgdwIeJLc,"[{'danceability': 0.781, 'energy': 0.754, 'key': 0, 'loudness': -3.61, 'mode': 0, 'speechiness': 0.0894, 'acousticness': 0.36, 'instrumentalness': 0, 'liveness': 0.0867, 'valence': 0.519, 'tempo': 120.521, 'type': 'audio_features', 'id': '6KM0MPPSPGjBlQgdwIeJLc', 'uri': 'spotify:track:6KM0MPPSPGjBlQgdwIeJLc', 'track_href': 'https://api.spotify.com/v1/tracks/6KM0MPPSPGjBlQgdwIeJLc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6KM0MPPSPGjBlQgdwIeJLc', 'duration_ms': 227080, 'time_signature': 4}]",7
For Whom The Bell Tolls,J. Cole,6Czb2BTCg2CMjbKFYNGTap,"[{'danceability': 0.391, 'energy': 0.403, 'key': 10, 'loudness': -11.002, 'mode': 0, 'speechiness': 0.0805, 'acousticness': 0.475, 'instrumentalness': 0, 'liveness': 0.294, 'valence': 0.179, 'tempo': 74.657, 'type': 'audio_features', 'id': '6Czb2BTCg2CMjbKFYNGTap', 'uri': 'spotify:track:6Czb2BTCg2CMjbKFYNGTap', 'track_href': 'https://api.spotify.com/v1/tracks/6Czb2BTCg2CMjbKFYNGTap', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Czb2BTCg2CMjbKFYNGTap', 'duration_ms': 127880, 'time_signature': 4}]",3
10 Bands,Drake,12d5QFwzh60IIHlsSnAvps,"[{'danceability': 0.825, 'energy': 0.756, 'key': 11, 'loudness': -3.687, 'mode': 0, 'speechiness': 0.383, 'acousticness': 0.265, 'instrumentalness': 2.15e-06, 'liveness': 0.0762, 'valence': 0.888, 'tempo': 172.938, 'type': 'audio_features', 'id': '12d5QFwzh60IIHlsSnAvps', 'uri': 'spotify:track:12d5QFwzh60IIHlsSnAvps', 'track_href': 'https://api.spotify.com/v1/tracks/12d5QFwzh60IIHlsSnAvps', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/12d5QFwzh60IIHlsSnAvps', 'duration_ms': 177733, 'time_signature': 4}]",5
Deliver,Lupe Fiasco,3oVZPCQErNdBbQVHlDuSFJ,"[{'danceability': 0.709, 'energy': 0.638, 'key': 1, 'loudness': -6.919, 'mode': 1, 'speechiness': 0.0368, 'acousticness': 0.00624, 'instrumentalness': 0, 'liveness': 0.157, 'valence': 0.132, 'tempo': 119.876, 'type': 'audio_features', 'id': '3oVZPCQErNdBbQVHlDuSFJ', 'uri': 'spotify:track:3oVZPCQErNdBbQVHlDuSFJ', 'track_href': 'https://api.spotify.com/v1/tracks/3oVZPCQErNdBbQVHlDuSFJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3oVZPCQErNdBbQVHlDuSFJ', 'duration_ms': 232827, 'time_signature': 4}]",6
Ain't No Thang - Dirty Version,Outkast,1dgdxmfDBZLuMDbPu5IhiN,"[{'danceability': 0.678, 'energy': 0.659, 'key': 1, 'loudness': -5.146, 'mode': 0, 'speechiness': 0.356, 'acousticness': 0.0675, 'instrumentalness': 0, 'liveness': 0.32, 'valence': 0.295, 'tempo': 177.711, 'type': 'audio_features', 'id': '1dgdxmfDBZLuMDbPu5IhiN', 'uri': 'spotify:track:1dgdxmfDBZLuMDbPu5IhiN', 'track_href': 'https://api.spotify.com/v1/tracks/1dgdxmfDBZLuMDbPu5IhiN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1dgdxmfDBZLuMDbPu5IhiN', 'duration_ms': 338933, 'time_signature': 4}]",1
Tonite,DJ Quik,2hluGQtmPypU3tsQudCQ3U,"[{'danceability': 0.965, 'energy': 0.449, 'key': 0, 'loudness': -15.225, 'mode': 1, 'speechiness': 0.236, 'acousticness': 0.05, 'instrumentalness': 1.13e-06, 'liveness': 0.267, 'valence': 0.723, 'tempo': 105.391, 'type': 'audio_features', 'id': '2hluGQtmPypU3tsQudCQ3U', 'uri': 'spotify:track:2hluGQtmPypU3tsQudCQ3U', 'track_href': 'https://api.spotify.com/v1/tracks/2hluGQtmPypU3tsQudCQ3U', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2hluGQtmPypU3tsQudCQ3U', 'duration_ms': 323267, 'time_signature': 4}]",2
Pound Cake / Paris Morton Music 2,Drake,4RI9eX7jNcdaQOJifn7t6z,"[{'danceability': 0.521, 'energy': 0.762, 'key': 2, 'loudness': -6.746, 'mode': 1, 'speechiness': 0.529, 'acousticness': 0.138, 'instrumentalness': 1.11e-05, 'liveness': 0.114, 'valence': 0.266, 'tempo': 164.09, 'type': 'audio_features', 'id': '4RI9eX7jNcdaQOJifn7t6z', 'uri': 'spotify:track:4RI9eX7jNcdaQOJifn7t6z', 'track_href': 'https://api.spotify.com/v1/tracks/4RI9eX7jNcdaQOJifn7t6z', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4RI9eX7jNcdaQOJifn7t6z', 'duration_ms': 433800, 'time_signature': 4}]",6
"Hold On, We're Going Home",Drake,6jdOi5U5LBzQrc4c1VT983,"[{'danceability': 0.773, 'energy': 0.414, 'key': 6, 'loudness': -7.436, 'mode': 0, 'speechiness': 0.0961, 'acousticness': 0.00411, 'instrumentalness': 3.4e-05, 'liveness': 0.0733, 'valence': 0.289, 'tempo': 99.993, 'type': 'audio_features', 'id': '6jdOi5U5LBzQrc4c1VT983', 'uri': 'spotify:track:6jdOi5U5LBzQrc4c1VT983', 'track_href': 'https://api.spotify.com/v1/tracks/6jdOi5U5LBzQrc4c1VT983', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6jdOi5U5LBzQrc4c1VT983', 'duration_ms': 227880, 'time_signature': 4}]",1
Buried Alive Interlude,Drake,1ZyudLFv35SRvY5SvTZqJx,"[{'danceability': 0.711, 'energy': 0.543, 'key': 0, 'loudness': -12.692, 'mode': 1, 'speechiness': 0.112, 'acousticness': 0.412, 'instrumentalness': 0, 'liveness': 0.505, 'valence': 0.801, 'tempo': 102.01, 'type': 'audio_features', 'id': '1ZyudLFv35SRvY5SvTZqJx', 'uri': 'spotify:track:1ZyudLFv35SRvY5SvTZqJx', 'track_href': 'https://api.spotify.com/v1/tracks/1ZyudLFv35SRvY5SvTZqJx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1ZyudLFv35SRvY5SvTZqJx', 'duration_ms': 150960, 'time_signature': 4}]",2
You Can Do It - Feat. Mack 10 And Ms Toi,Ice Cube,4r13PlX7hKjNxdyq5ukR5A,"[{'danceability': 0.946, 'energy': 0.857, 'key': 1, 'loudness': -4.498, 'mode': 0, 'speechiness': 0.159, 'acousticness': 0.000917, 'instrumentalness': 0, 'liveness': 0.0525, 'valence': 0.882, 'tempo': 99.88, 'type': 'audio_features', 'id': '4r13PlX7hKjNxdyq5ukR5A', 'uri': 'spotify:track:4r13PlX7hKjNxdyq5ukR5A', 'track_href': 'https://api.spotify.com/v1/tracks/4r13PlX7hKjNxdyq5ukR5A', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4r13PlX7hKjNxdyq5ukR5A', 'duration_ms': 259160, 'time_signature': 4}]",7
Back To Back,Drake,4rujbg8RNFitwtkv1qEq4K,"[{'danceability': 0.893, 'energy': 0.48, 'key': 1, 'loudness': -3.728, 'mode': 0, 'speechiness': 0.356, 'acousticness': 0.00854, 'instrumentalness': 0, 'liveness': 0.116, 'valence': 0.382, 'tempo': 86.976, 'type': 'audio_features', 'id': '4rujbg8RNFitwtkv1qEq4K', 'uri': 'spotify:track:4rujbg8RNFitwtkv1qEq4K', 'track_href': 'https://api.spotify.com/v1/tracks/4rujbg8RNFitwtkv1qEq4K', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4rujbg8RNFitwtkv1qEq4K', 'duration_ms': 170638, 'time_signature': 4}]",1
PRBLMS,6LACK,3KH1kmD5mYQxyeHLoebQTF,"[{'danceability': 0.488, 'energy': 0.589, 'key': 9, 'loudness': -4.683, 'mode': 1, 'speechiness': 0.138, 'acousticness': 0.0327, 'instrumentalness': 1.85e-06, 'liveness': 0.18, 'valence': 0.127, 'tempo': 101.984, 'type': 'audio_features', 'id': '3KH1kmD5mYQxyeHLoebQTF', 'uri': 'spotify:track:3KH1kmD5mYQxyeHLoebQTF', 'track_href': 'https://api.spotify.com/v1/tracks/3KH1kmD5mYQxyeHLoebQTF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3KH1kmD5mYQxyeHLoebQTF', 'duration_ms': 246773, 'time_signature': 4}]",9
Drunk (feat. 6LACK),ScHoolboy Q,06Y14QBRyzmPRqrswAfF4J,"[{'danceability': 0.89, 'energy': 0.617, 'key': 0, 'loudness': -8.029, 'mode': 0, 'speechiness': 0.214, 'acousticness': 0.28, 'instrumentalness': 0, 'liveness': 0.0906, 'valence': 0.383, 'tempo': 80.358, 'type': 'audio_features', 'id': '06Y14QBRyzmPRqrswAfF4J', 'uri': 'spotify:track:06Y14QBRyzmPRqrswAfF4J', 'track_href': 'https://api.spotify.com/v1/tracks/06Y14QBRyzmPRqrswAfF4J', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/06Y14QBRyzmPRqrswAfF4J', 'duration_ms': 212253, 'time_signature': 4}]",1
"Far Away (feat. Kirk Knight, Meechy Darko, Erick The Architect & Nyck Caution)",Beast Coast,10nbIPV2SRLqEjIpvS8CVb,"[{'danceability': 0.768, 'energy': 0.648, 'key': 11, 'loudness': -6.042, 'mode': 0, 'speechiness': 0.188, 'acousticness': 0.045, 'instrumentalness': 2.9e-05, 'liveness': 0.113, 'valence': 0.358, 'tempo': 97.013, 'type': 'audio_features', 'id': '10nbIPV2SRLqEjIpvS8CVb', 'uri': 'spotify:track:10nbIPV2SRLqEjIpvS8CVb', 'track_href': 'https://api.spotify.com/v1/tracks/10nbIPV2SRLqEjIpvS8CVb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/10nbIPV2SRLqEjIpvS8CVb', 'duration_ms': 188040, 'time_signature': 4}]",3
XanaX Damage,Future,3tZ4zv4UuenjJGSNUMfBNG,"[{'danceability': 0.551, 'energy': 0.609, 'key': 7, 'loudness': -8.975, 'mode': 1, 'speechiness': 0.143, 'acousticness': 0.368, 'instrumentalness': 0.000154, 'liveness': 0.192, 'valence': 0.324, 'tempo': 139.084, 'type': 'audio_features', 'id': '3tZ4zv4UuenjJGSNUMfBNG', 'uri': 'spotify:track:3tZ4zv4UuenjJGSNUMfBNG', 'track_href': 'https://api.spotify.com/v1/tracks/3tZ4zv4UuenjJGSNUMfBNG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3tZ4zv4UuenjJGSNUMfBNG', 'duration_ms': 104013, 'time_signature': 4}]",9
